code_uic,name,fret,voyageurs,code_ligne,rg_troncon,pk,ville,departement,num_departement,y_geo,x_geo
87172049,Bogny-sur-Meuse,N,O,205000,1,158+049,Bogny-Sur-Meuse,Ardennes,08,4.762709444152459,49.85883392989218
87172056,Monthermé,N,O,205000,1,159+924,Bogny-Sur-Meuse,Ardennes,08,4.740114617174918,49.866096283736084
87172064,Deville,N,O,205000,1,163+505,Deville,Ardennes,08,4.707017563077379,49.880200975429595
87172072,Laifour,N,O,205000,1,167+806,Laifour,Ardennes,08,4.692175188420022,49.91097533133588
87172080,Revin,O,O,205000,1,175+403,Revin,Ardennes,08,4.642915600499463,49.93940438289336
87172098,Fumay,N,O,205000,1,182+930,Fumay,Ardennes,08,4.692741480890238,49.98675789635713
87172106,Haybes,N,O,205000,1,186+268,Haybes,Ardennes,08,4.705574914362734,50.01196940594156
87172114,Vireux-Molhain,O,O,205000,1,195+836,Vireux-Molhain,Ardennes,08,4.723151406525395,50.08345764970998
87172122,Aubrives,N,O,205000,1,199+818,Aubrives,Ardennes,08,4.761766683434948,50.10432227905831
87172130,Givet,O,O,205000,1,206+053,Givet,Ardennes,08,4.817813644678012,50.14091292925688
87172155,Mohon,O,O,205000,1,140+642,Charleville-Mezieres,Ardennes,08,4.732672601969852,49.753068017671595
87172171,Poix-Terron,N,O,205000,1,126+212,Poix-Terron,Ardennes,08,4.636807636125961,49.650586484650105
87172189,Lumes,N,O,204000,2,143+837,Lumes,Ardennes,08,4.783240563825568,49.73298159988859
87172213,Nouvion-sur-Meuse,N,O,204000,2,148+228,Nouvion-Sur-Meuse,Ardennes,08,4.795018999514381,49.69710359367767
87172221,Vrigne-Meuse,N,O,204000,2,151+762,Vrigne-Meuse,Ardennes,08,4.843348320878918,49.70088831696133
87172239,Donchery,O,O,204000,2,154+063,Donchery,Ardennes,08,4.874829747177437,49.6983163493635
87172254,Sedan,N,O,204000,2,158+515,Sedan,Ardennes,08,4.930282526719133,49.69486281823431
87172262,Amagne-Lucquy,N,O,205000,1,101+957,Lucquy,Ardennes,08,4.474645310200697,49.52381973695728
87172270,Rethel,O,O,205000,1,094+014,Rethel,Ardennes,08,4.370261280952036,49.50463379393168
87172312,Bazeilles,O,N,204000,2,164+361,Bazeilles,Ardennes,08,4.986271337925847,49.6719657259352
87172353,Carignan,N,O,204000,2,180+500,Carignan,Ardennes,08,5.168335867304816,49.62853047515664
87172387,Blagny,O,N,204000,2,182+305,Blagny,Ardennes,08,5.189218780985274,49.61985028140475
87172411,Margut-Fromy,O,N,204000,2,188+718,Margut,Ardennes,08,5.257332839814516,49.59070957115903
87172452,Alland'huy,O,N,210000,1,006+239,Alland'Huy-Et-Sausseuil,Ardennes,08,4.555346189941514,49.511368621731805
